n,text,label
62,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
63,Incidente Processual Instaurado Seq.: 01 - Requisição de Pequeno Valor,H:Ativo
64,Petição Juntada Nº Protocolo: WFPA.19.80036408-0 Tipo da Petição: Petições Diversas Data: 25/03/2019 18:54,H:Ativo
65,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados,H:Suspenso
66,Guia Juntada,H:Suspenso
67,Certidão de Publicação Expedida Relação :0200/2018 Data da Disponibilização: 27/08/2018 Data da Publicação: 28/08/2018 Número do Diário: 2646 Página: 1445/1452,H:Ativo
68,Petição Juntada Nº Protocolo: WSNE.17.80004319-3 Tipo da Petição: Petições Diversas Data: 13/09/2017 15:08,H:Ativo
69,Serventuário C. EXEQUENTE - FMRC,H:Ativo
70,Suspensão do Prazo Prazo referente ao usuário foi alterado para 15/03/2019 devido à alteração da tabela de feriados,H:Ativo
71,Arquivado Definitivamente,H:Arquivado
72,Conclusos para Decisão,H:Ativo
73,Conclusos Para Voto/Decisão (Gabinete Do Ministro Douglas Alencar Rodrigues),H:Ativo
74,Certidão de Publicação Expedida Relação :0389/2018 Data da Disponibilização: 21/06/2018 Data da Publicação: 22/06/2018 Número do Diário: 2600 Página: 2665/2670,H:Arquivado
75,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoSituação:Em fase de encaminhamento ao arquivo,H:Arquivado
76,Petição Juntada Nº Protocolo: WFPA.19.70157472-9 Tipo da Petição: Petições Diversas Data: 29/03/2019 11:36,H:Ativo
77,Serventuário PACOTE 14532/2018,H:Suspenso
78,Arquivado Provisoriamente,H:Suspenso
79,"Ato ordinatório Fls. 56/459:Defiro à Fazenda do Estado o prazo suplementar de 60 dias, para que apresente os esclarecimentos necessários.",H:Ativo
80,Certidão de Publicação Expedida Relação :0048/2019 Data da Disponibilização: 07/02/2019 Data da Publicação: 08/02/2019 Número do Diário: 2744 Página: 361-364,H:Ativo
81,Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo,H:Ativo
82,Arquivado Provisoriamente,H:Suspenso
83,Mensagem Eletrônica (e-mail) Juntada decisão STJ da apelação,H:Ativo
84,Certidão de Cartório Expedida Certidão - Genérica,H:Ativo
85,Início da Execução Juntado 0021656-65.2018.8.26.0007 - Cumprimento de sentença,H:Suspenso
86,Início da Execução Juntado 0026715-90.2018.8.26.0053 - Cumprimento Provisório de Sentença,H:Ativo
87,Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo,H:Ativo
88,"Arquivado Definitivamente 1 volume, Cx 7775",H:Arquivado
89,Certidão de Publicação Expedida Relação :0481/2016 Data da Disponibilização: 06/10/2016 Data da Publicação: 07/10/2016 Número do Diário: 2216 Página: 1956/1970,H:Arquivado
90,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados RECALL PACOTE 11015/2018 C/02 VOLUMES,H:Ativo
91,Ofício Juntado Juntada a petição diversa - Tipo: Ofício em Procedimento Comum Cível - Número: 80015 - Complemento: FLSO 00002881-0,H:Arquivado
92,Conclusos para Decisão,H:Ativo
93,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
94,Certidão de Publicação Expedida Relação :0119/2019 Data da Disponibilização: 29/03/2019 Data da Publicação: 01/04/2019 Número do Diário: 2778 Página: 1124-1175,H:Ativo
95,Certidão de Publicação Expedida Relação :0075/2019 Data da Disponibilização: 26/03/2019 Data da Publicação: 27/03/2019 Número do Diário: 2775 Página: 1525/1531,H:Ativo
96,Certidão de Publicação Expedida Relação :0293/2018 Data da Disponibilização: 16/04/2018 Data da Publicação: 17/04/2018 Número do Diário: Página:,H:Ativo
97,Recebidos os Autos do Tribunal de Justiça Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 17ª Vara Criminal,H:Ativo
98,Trânsito em Julgado às partes - Suspenso Certidão - Trânsito em Julgado,H:Arquivado
99,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:2956Maço recebido pelo arquivo em:19/09/2014Local de arquivamento:Arquivo Geral - Rio de Janeiro,H:Arquivado
100,Arquivado Definitivamente,H:Arquivado
101,Arquivado Provisoriamente - Execução Frustrada,H:Suspenso
102,Certidão de Publicação Expedida Relação :0534/2016 Data da Disponibilização: 07/07/2016 Data da Publicação: 08/07/2016 Número do Diário: 2152 Página: 01 a 02,H:Arquivado
103,Certidão de Cartório Expedida Certidão - Genérica,H:Ativo
104,Decisão,H:Ativo
105,Certidão de Publicação Expedida Relação :0108/2019 Data da Disponibilização: 29/03/2019 Data da Publicação: 01/04/2019 Número do Diário: 2778 Página: 1225-1237,H:Ativo
106,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
107,"Remetido ao DJE Relação: 0079/2019 Teor do ato: Vistos. Cumpra-se o V. Acórdão. Sendo os sucumbentes beneficiários de justiça gratuita, arquivem-se os autos. Int. Advogados(s): Mauro Del Ciello (OAB 32599/SP), 'Maria Maura Bolzan Domingues (OAB 89269/SP)",H:Ativo
108,Arquivado Definitivamente REGULARIZAÇÃO - Pacote nº 10.961/2015,H:Arquivado
109,Disponibilizado no DJE P/Arquivar em 29/08/2018.,H:Arquivado
110,Certidão de Cartório Expedida Certifico e dou fé em 31/07/2015 decorreu o prazo legal para o INSS interpor recurso sobre a r. Sentença de fls.38. Nada Mais.,H:Arquivado
111,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 9ª Vara de Fazenda Pública,H:Ativo
112,Tipo do Movimento:Devolução de Carta Precatória ,H:Ativo
113,Recebidos os Autos do Tribunal de Justiça Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 8ª Vara de Fazenda Pública,H:Ativo
114,Suspensão do Prazo Prazo referente ao usuário foi alterado para 18/12/2018 devido à alteração da tabela de feriados,H:Ativo
115,Suspensão do Prazo Prazo referente ao usuário foi alterado para 13/05/2019 devido à alteração da tabela de feriados,H:Ativo
116,Suspensão do Prazo Prazo referente ao usuário foi alterado para 20/11/2018 devido à alteração da tabela de feriados,H:Ativo
117,Baixa Definitiva,H:Arquivado
118,Tipo do Movimento:Devolução de Carta Precatória ,H:Ativo
119,Suspensão do Prazo Prazo referente à movimentação foi alterado para 11/03/2019 devido à alteração da tabela de feriados,H:Ativo
120,"Autos Destruídos Autos incinerados junto à Usina Branco Peres, nesta cidade e comarca de Adamantina-sp. Procedimento n. 12/2016, deste Juizado.",H:Arquivado
121,Ofício Expedido Ofício - IIRGD - Decisão - Crime,H:Arquivado
122,Início da Execução Juntado 0026174-57.2018.8.26.0053 - Cumprimento Provisório de Sentença,H:Ativo
123,Arquivado Definitivamente,H:Arquivado
124,Arquivado Definitivamente Art. 487 do CPC,H:Arquivado
125,Ofício Expedido Ofício - Transcrição de Despacho - Genérico,H:Suspenso
126,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
127,Documento Juntado,H:Arquivado
128,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados,H:Arquivado
129,Certidão de Cartório Expedida Certidão - Certifica Trânsito em Julgado com baixa - Execução Fiscal Eletrônica,H:Arquivado
130,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
131,Certidão de Publicação Expedida Relação :0311/2015 Data da Disponibilização: 13/01/2016 Data da Publicação: 18/01/2016 Número do Diário: 2035 Página: 409/421,H:Arquivado
132,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
133,Arquivado Definitivamente,H:Arquivado
134,Certidão de Não Consulta ao Teor da Informação - Contagem de Prazo do Ato - Expedida Certidão de Não Leitura - Contagem de Prazo do Ato,H:Ativo
135,Trânsito em Julgado às partes - com Baixa,H:Arquivado
136,Arquivado Provisoriamente,H:Suspenso
137,Arquivado Definitivamente,H:Arquivado
138,Arquivado Definitivamente,H:Arquivado
139,Guia Juntada,H:Arquivado
140,Certidão de Não Consulta ao Teor da Informação - Contagem de Prazo do Ato - Expedida Certidão de Não Leitura - Contagem de Prazo do Ato,H:Ativo
141,Autos no Prazo Prazo 21/02/2016,H:Ativo
142,Arquivado Provisoriamente,H:Suspenso
143,Certidão de Publicação Expedida Relação :0332/2018 Data da Disponibilização: 10/08/2018 Data da Publicação: 13/08/2018 Número do Diário: 2635 Página: 940/960,H:Ativo
144,Início da Execução Juntado 0004339-81.2016.8.26.0053 - Cumprimento Provisório de Sentença,H:Ativo
145,Certidão de Publicação Expedida Relação :0064/2019 Data da Disponibilização: 02/04/2019 Data da Publicação: 03/04/2019 Número do Diário: 2780 Página: 1381/1403,H:Ativo
146,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
147,Arquivado Definitivamente,H:Arquivado
148,Certidão de Publicação Expedida Relação :0185/2019 Data da Disponibilização: 01/04/2019 Data da Publicação: 02/04/2019 Número do Diário: 2779 Página: 1636/1647,H:Ativo
149,"Trânsito em Julgado às partes - com Baixa Transito em julgado, com base no acórdão, em 31/07/2018.",H:Arquivado
150,Certidão de Cartório Expedida Certidão - Genérica,H:Ativo
151,Suspensão do Prazo Prazo referente ao usuário foi alterado para 22/04/2019 devido à alteração da tabela de feriados,H:Ativo
152,Arquivado Definitivamente,H:Arquivado
153,Ofício Requisitório-Extinção de Precatório Expedido Ofício - Requisitório Eletrônico - Precatório - Extinção - Execução Fiscal-Fazenda Pública-Acidentes do Trabalho,H:Arquivado
154,Arquivado Definitivamente,H:Arquivado
155,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento do Juizado Especial Cível - Número: 80005 - Protocolo: FJMJ16012896266,H:Arquivado
156,Remetidos os Autos FÍSICOS Digitalizados ao Arquivo - Comunicado 903/2017 pacote nº 2693/2019,H:Arquivado
157,Certidão (Documento Restrito) Pagto Ao Advogado,H:Ativo
158,Trânsito em Julgado às partes - com Baixa,H:Arquivado
159,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
160,Início da Execução Juntado 0007879-35.2019.8.26.0053 - Cumprimento de Sentença contra a Fazenda Pública,H:Ativo
161,Certidão de Publicação Expedida Relação :0081/2019 Data da Disponibilização: 01/04/2019 Data da Publicação: 02/04/2019 Número do Diário: 2779 Página: 1497/1507,H:Ativo
162,Arquivado Provisoriamente Recall nº F9001966160964 - M6356,H:Suspenso
163,Remessa a Origem Remetido (DEVOLVIDO) à Origem em - 03/08/06,H:Arquivado
164,Certidão de Publicação Expedida Relação :0072/2019 Data da Disponibilização: 22/03/2019 Data da Publicação: 25/03/2019 Número do Diário: 2773 Página: 529/538,H:Ativo
165,Decurso de Prazo sem manifestação,H:Arquivado
166,Certidão de Publicação Expedida Relação :0146/2019 Data da Disponibilização: 19/03/2019 Data da Publicação: 20/03/2019 Número do Diário: Página:,H:Ativo
167,Arquivado Definitivamente PACOTE 2585/2016 - EXTINTO,H:Arquivado
168,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório do Setor de Execuções contra a FazPública,H:Ativo
169,Arquivado Definitivamente,H:Arquivado
170,"Autos Eliminados OS AUTOS FORAM DESCARTADOS - OF.Nº 08/2016, DATADO DE 08/11/2016 E REMETIDO À SECRETARIA DA ADMINISTRAÇÃO PARA FRAGMENTAÇÃO (PASTA DE REG.DESCARTE Nº 03",H:Arquivado
171,Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo,H:Ativo
172,Certidão de Cartório Expedida Certidão - Genérica,H:Ativo
173,Certidão de Publicação Expedida Relação :0352/2017 Data da Disponibilização: 20/09/2017 Data da Publicação: 21/09/2017 Número do Diário: 2434 Página: 725/738,H:Arquivado
174,"Remetido ao DJE Relação: 0327/2019 Teor do ato: Ato ordinatório - Nos termos da r. decisão de fls. 337, fica a parte autora intimada a proceder ao recolhimento da competente taxa para publicação do edital no Diário da Justiça Eletrônico (GUIA DO FUNDO ESPECIAL DE DESPESAS - CÓDIGO 435-9 - 493,80), no prazo de 10 (dez) dias. A intimação é veiculada, unicamente, pela publicação no órgão oficial. Advogados(s): Paulo Celio de Oliveira (OAB 138586/SP), Cíntia Franco Alvarenga Abdo (OAB 196428/SP), Davi Santos Pillon (OAB 234624/SP), Elizabeth Aparecida da Silva (OAB 269684/SP), Benedito Sergio de Moraes (OAB 341377/SP)",H:Ativo
175,Documento Juntado,H:Arquivado
176,Autos no Prazo,H:Suspenso
177,Tipo do Movimento:Publicado  Despacho Folhas do DJERJ.:913/924,H:Ativo
178,Petição Juntada Nº Protocolo: WSCB.19.70085805-7 Tipo da Petição: Petições Diversas Data: 19/03/2019 08:47,H:Ativo
179,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:5739Maço recebido pelo arquivo em:11/11/2015Local de arquivamento:Arquivo Geral - Rio de Janeiro,H:Arquivado
180,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 8ª Vara de Fazenda Pública,H:Ativo
181,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
182,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados,H:Arquivado
183,"Remetido ao DJE Relação: 0364/2019 Teor do ato: Vistos. Fls.1281/1282: diga a FESP sobre o pedido de prosseguimento da execução sobre o valor controverso. Prazo de 10 dias. Após, conclusos para as deliberações necessárias. Intime-se. Advogados(s): Moacir Aparecido Matheus Pereira (OAB 116800/SP), Aparecido Inácio Ferrari de Medeiros (OAB 97365/SP), Anna Paula Sena de Gobbi (OAB 286456/SP), Rodrigo Leite Orlandelli (OAB 328898/SP), Graziella Moliterni Benvenuti (OAB 319584/SP)",H:Ativo
184,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:1863Maço recebido pelo arquivo em:19/10/2016Local de arquivamento:Arquivo Regional de Rio Bonito,H:Arquivado
185,Arquivado Provisoriamente,H:Suspenso
186,Arquivado Definitivamente,H:Arquivado
187,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
188,Disponibilização no Diário da Justiça Eletrônico,H:Ativo
189,Trânsito em Julgado às partes - com Baixa Arquivado dia 08/08/2017 - CAIXA - 3542/2017.,H:Arquivado
190,Petição Juntada Nº Protocolo: WFPA.19.70118634-6 Tipo da Petição: Petições Diversas Data: 12/03/2019 18:47,H:Ativo
191,Ato Ordinatório - AR Positivo Juntado,H:Ativo
192,Cancelada a Distribuição (movimentação exclusiva do distribuidor) Cancelado conforme Decisão de fls. 49 dos autos nos termos do art. 290 do N.C.P.C.,H:Ativo
193,Arquivado Definitivamente,H:Arquivado
194,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório do Setor de Execuções contra a FazPública,H:Ativo
195,Arquivado Definitivamente,H:Arquivado
196,Arquivado Definitivamente,H:Arquivado
197,Autos Entregues em Carga ao Advogado do Autor End: Av Brigadeiro Luis Antonio N° 54 9° Andar Tel: 3105-3235 Levando Todos Os Volumes 1° ao 3° Ass: Daniele Carvalho De Souza Por: Gustavo Lima Tipo de local de destino: Advogado Especificação do local de destino: Severino Alves Ferreira,H:Ativo
198,Certidão de Honorários Expedida Certidão - Honorários - Convênio Defensoria-OAB,H:Arquivado
199,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
200,Início da Execução Juntado 0004238-90.2018.8.26.0597 - Cumprimento de sentença,H:Arquivado
201,Conclusos Os Autos Para Julgamento Proferir Sentença,H:Ativo
202,Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo,H:Ativo
203,Certidão de Publicação Expedida Relação :0082/2019 Data da Disponibilização: 02/04/2019 Data da Publicação: 03/04/2019 Número do Diário: 2780 Página: 1336/1344,H:Ativo
204,Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público Segue - Ord - nº 2226/07 (1º ao 4º volumes). Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo,H:Ativo
205,Recebidos Os Autos (Retorno Do Tst),H:Ativo
206,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:8465Maço recebido pelo arquivo em:14/08/2018Local de arquivamento:Arquivo Geral - Rio de Janeiro,H:Arquivado
207,Conclusos para Despacho REMETIDO À SALA Tipo de local de destino: Juiz de Direito Especificação do local de destino: Olavo Zampol Júnior,H:Ativo
208,Certidão de Publicação Expedida Relação :0856/2018 Data da Disponibilização: 25/07/2018 Data da Publicação: 26/07/2018 Número do Diário: 2623 Página: 1368/1369,H:Arquivado
209,Autos no Prazo ag. Prazo 22/01/2019 - Decurso 30/01/2019,H:Arquivado
210,Documento Juntado,H:Ativo
211,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Unidade de Processamento das Execuções contra a Fazenda Pública da Comarca da Capital - UPEFAZ,H:Arquivado
212,Petição Juntada Nº Protocolo: WPAA.19.70055850-9 Tipo da Petição: Petições Diversas Data: 20/03/2019 11:26,H:Ativo
213,Trânsito em Julgado às partes - com Baixa,H:Arquivado
214,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
215,Suspensão do Prazo Prazo referente à movimentação foi alterado para 04/10/2019 devido à alteração da tabela de feriados,H:Ativo
216,Petição Juntada Nº Protocolo: WFPA.18.70332681-0 Tipo da Petição: Petições Diversas Data: 28/08/2018 15:57,H:Ativo
217,Suspensão do Prazo Prazo referente ao usuário foi alterado para 13/12/2018 devido à alteração da tabela de feriados Prazo referente ao usuário foi alterado para 20/11/2018 devido à alteração da tabela de feriados,H:Ativo
218,Ofício Juntado,H:Arquivado
219,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
220,Arquivado Definitivamente,H:Arquivado
221,"Arquivamento Provisório - Cumprimento de Sentença Digital Certifico e dou fé que procedi ao cadastro do cumprimento de sentença sob nº 0012364-51.2017 interposto por Elizabeth Wenzel Leme dos Santos Franco Marcondes x Fazenda do Estado de São Paulo, ficando estes autos suspensos.",H:Suspenso
222,Arquivado Definitivamente,H:Arquivado
223,Arquivado Definitivamente,H:Arquivado
224,Arquivado Definitivamente CX 5174,H:Arquivado
225,"Arquivado Definitivamente DECISÃO FLS. 261/263 = ART. 487, III, ALÍNEA B, CPC. CERT. DEC. PZ.= 03/06/2016",H:Arquivado
226,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados caixa nº 9843/18,H:Arquivado
227,Tipo do Movimento:Envio de Documento Eletrônico ,H:Ativo
228,Arquivado Provisoriamente PACOTE Nº 2018/5283 - 1º ao 3ºv,H:Suspenso
229,Comprovante de Depósito Juntado,H:Ativo
230,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoSituação:Em fase de encaminhamento ao arquivo,H:Arquivado
231,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
232,Arquivado Definitivamente,H:Arquivado
233,Autos no Prazo PZ 31/10/17 Vencimento: 18/10/2017,H:Ativo
234,Arquivado Definitivamente,H:Arquivado
235,Arquivado Provisoriamente CX3425/2017- 2 vol - cx 199/2007 - 1 vol,H:Suspenso
236,Arquivado Definitivamente,H:Arquivado
237,Remetida a Carta Precatória ao Cartório de Origem Cumprida Negativa Devolvida a 9ª Vara Cível de Santos - SP,H:Arquivado
238,"Baixa Definitiva Tratava-se da restauração dos volumes 1º, 2º e 3º dos autos 2269/07, os quais foram localizados.",H:Arquivado
